category,room_count,bathroom_count,size,type,price,city,region
Terrains et Fermes,,,,À Vendre,190000.0,Ariana,Jardins D'el Menzah
Appartements,3.0,1.0,110.0,À Vendre,220000.0,Ariana,Borj Louzir
Terrains et Fermes,,,,À Vendre,470000.0,Ariana,Ariana Ville
Appartements,2.0,1.0,80.0,À Louer,580.0,Ariana,Ariana
Appartements,3.0,1.0,130.0,À Louer,1400.0,Ariana,Jardins D'el Menzah
Terrains et Fermes,,,,À Vendre,420000.0,Ariana,Raoued
Appartements,2.0,1.0,100.0,À Louer,230.0,Ariana,Borj Louzir
Terrains et Fermes,,,,À Vendre,105000.0,Ariana,Raoued
Appartements,1.0,1.0,60.0,À Louer,650.0,Ariana,Jardins D'el Menzah
Appartements,3.0,1.0,170.0,À Vendre,350000.0,Ariana,Ennasr
Terrains et Fermes,,,,À Vendre,350000.0,Ariana,
Appartements,2.0,1.0,100.0,À Louer,800.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,650000.0,Ariana,Jardins D'el Menzah
Terrains et Fermes,,,,À Vendre,700000.0,Ariana,Ghazela
Locations de vacances,2.0,1.0,70.0,À Louer,80.0,Ariana,Ennasr
Terrains et Fermes,,,,À Vendre,90000.0,Ariana,Raoued
Appartements,3.0,1.0,100.0,À Louer,700.0,Ariana,Borj Louzir
Terrains et Fermes,,,,À Vendre,220000.0,Ariana,Raoued
Appartements,3.0,3.0,190.0,À Louer,2500.0,Ariana,Ennasr
Terrains et Fermes,,,,À Vendre,150000.0,Ariana,
Terrains et Fermes,,,,À Vendre,625000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,250000.0,Ariana,Raoued
Maisons et Villas,5.0,1.0,240.0,À Vendre,280000.0,Ariana,Raoued
Bureaux et Plateaux,7.0,4.0,400.0,À Louer,3000.0,Ariana,Ariana Ville
Appartements,1.0,1.0,90.0,À Louer,90.0,Ariana,Autres villes
Appartements,1.0,1.0,70.0,À Louer,1350.0,Ariana,La Soukra
Appartements,2.0,1.0,100.0,À Louer,850.0,Ariana,La Soukra
Appartements,2.0,1.0,120.0,À Vendre,280000.0,Ariana,La Soukra
Appartements,3.0,2.0,140.0,À Louer,1000.0,Ariana,Chotrana
Appartements,1.0,1.0,80.0,À Louer,900.0,Ariana,La Soukra
Maisons et Villas,5.0,3.0,250.0,À Vendre,410000.0,Ariana,La Soukra
Appartements,1.0,1.0,90.0,À Louer,90.0,Ariana,Autres villes
Locations de vacances,1.0,1.0,240.0,À Vendre,2500000.0,Ariana,Ariana
Appartements,1.0,1.0,90.0,À Louer,90.0,Ariana,Autres villes
Bureaux et Plateaux,2.0,1.0,83.0,À Louer,900.0,Ariana,Autres villes
Appartements,3.0,2.0,155.0,À Vendre,300000.0,Ariana,La Soukra
Appartements,1.0,1.0,95.0,À Louer,750.0,Ariana,Jardins D'el Menzah
Maisons et Villas,7.0,2.0,401.0,À Vendre,550000.0,Ariana,Ariana
Terrains et Fermes,,,,À Vendre,316000.0,Ariana,Autres villes
Appartements,3.0,2.0,175.0,À Vendre,440000.0,Ariana,Autres villes
Appartements,3.0,1.0,170.0,À Vendre,350000.0,Ariana,Ennasr
Appartements,2.0,1.0,120.0,À Louer,700.0,Ariana,Ghazela
Appartements,2.0,1.0,150.0,À Louer,1400.0,Ariana,Ennasr
Appartements,1.0,1.0,50.0,À Louer,500.0,Ariana,Ennasr
Maisons et Villas,11.0,3.0,518.0,À Vendre,900000.0,Ariana,Ariana Ville
Colocations,3.0,3.0,400.0,À Louer,400.0,Ariana,La Soukra
Appartements,2.0,1.0,70.0,À Louer,480.0,Ariana,Borj Louzir
Appartements,2.0,2.0,140.0,À Vendre,240000.0,Ariana,La Soukra
